"state","year","n_case_visits","pct_home_visit","n_home_visit","n_entered_care","n_fatality","fatality_rate","n_first_day_count","first_day_median_stay","pct_maltreat_in_care","n_in_care_check","pct_emotional","pct_medical","pct_neglect","pct_physical","pct_sexual","pct_traffic","pct_other_maltreat","pct_missing_maltreat","child_populaton","pct_child_poverty","two_minus_place_gt24","three_plus_place_gt24","missing_gt24","n_in_care_g24","two_minus_place_len_miss","three_plus_place_len_missing","missing_len_missing","n_in_care_len_missing","two_minus_place_lt12","three_plus_place_lt12","missing_lt12","n_in_care_lt12","two_minus_place_lt24","three_plus_place_lt24","missing_lt24","n_in_care_lt24"
"Massachusetts",2017,105039,78,82021,6103,14,1.02,10649,14.6,1,16752,NA,NA,104.1,9,2.9,NA,0,0,1374363,13.5,33.9,66.1,0,5437,100,0,0,6,68.5,31.3,0.2,7180,48.5,51.5,0,4129
"Massachusetts",2018,107916,80,86467,5789,14,1.02,10668,16.4,1.22,16457,NA,NA,104.5,8.6,3.3,0.9,0,0,1365956,12.2,32.5,67.5,0,5803,80,20,0,10,69.7,30.1,0.2,6741,46.1,53.8,0.1,3903
"Massachusetts",2019,107232,83,89400,5420,13,0.96,10382,16.5,0.96,15802,NA,NA,104.9,8.1,3.2,1.3,0,0,1353615,11.6,30,70,0,5685,100,0,0,17,73.2,26.5,0.3,6339,48.8,51.2,0,3761
"Massachusetts",2020,99589,87,86818,4594,NA,NA,9695,16.6,1.15,14289,NA,NA,103.9,8,3.3,1.3,0,0,1385886,10.7,28.2,71.8,0,5303,100,0,0,30,79.1,20.5,0.4,5410,53.3,46.7,0,3546
"Massachusetts",2021,96629,88,85432,4397,NA,NA,9196,18,1.13,13593,NA,NA,105,7.3,3.6,1.7,0,0,1362133,12.6,31.3,68.7,0,5453,66.7,33.3,0,15,77.7,21.7,0.6,4991,59.4,40.6,0,3134
"Michigan",2017,135062,98,132421,6854,51,2.34,11376,12.8,0.88,18230,0.4,1.9,85.2,25.2,3.7,NA,0,0,2181394,19.7,46.6,53.4,0,4891,100,0,0,6,87.2,12.6,0.2,7758,73.7,26.3,0,5575
"Michigan",2018,137047,98,134743,6208,49,2.26,11897,12.5,0.71,18105,0.6,2,85.8,24.1,3.8,0.1,0,0,2163590,19.4,47.4,52.6,0,5134,100,0,0,5,86.1,13.8,0.1,7078,71.8,28.1,0.1,5888
"Michigan",2019,134819,98,132656,5770,63,2.94,12075,13.7,0.88,17845,0.6,2.4,94.1,15.7,4,0.1,0,0,2144307,17.6,48.2,51.8,0,5649,96.9,3.1,0,32,87.7,12.2,0.2,6495,72.5,27.5,0,5669
"Michigan",2020,125415,81,101094,4386,43,1.97,11635,14.5,0.43,16021,0.6,2.2,92.3,15.2,4.5,0.1,0,0,2178387,17,49.4,50.6,0,5796,100,0,0,19,89.2,10.6,0.2,5020,75.5,24.5,0,5186
"Michigan",2021,108973,98,107030,3837,35,1.63,10637,16.6,0.49,14474,0.8,2.1,90.7,15.1,5.6,0.1,0,0,2153379,17.8,52.8,47.2,0,5886,100,0,0,9,89.4,10.3,0.3,4265,78.7,21.3,0,4314
