"state","year","n_case_visits","pct_home_visit","n_home_visit","n_entered_care","n_fatality","fatality_rate","n_first_day_count","first_day_median_stay","pct_maltreat_in_care","pct_emotional","pct_medical","pct_neglect","pct_physical","pct_sexual","pct_traffic","pct_other_maltreat","pct_missing_maltreat","child_populaton","pct_child_poverty","length_in_care","two_minus_place","three_plus_place","missing_place","n_in_care_place","n_in_care_total","two_minus_place_all","three_plus_place_all","region"
"California",2021,490671,91,446504,22892,135,1.54,49176,16.3,0.24,8.3,0.1,93.2,6.6,7,0.1,0.7,0,8772631,15.8,"time in care missing",94.1,4.9,1,102,72070,0.693364090467601,0.306621756625503,"West"
"California",2021,490671,91,446504,22892,135,1.54,49176,16.3,0.24,8.3,0.1,93.2,6.6,7,0.1,0.7,0,8772631,15.8,"less than 12m",87.6,12.4,0,26258,72070,0.693364090467601,0.306621756625503,"West"
"California",2021,490671,91,446504,22892,135,1.54,49176,16.3,0.24,8.3,0.1,93.2,6.6,7,0.1,0.7,0,8772631,15.8,"between 12 and 24m",74.5,25.5,0,19113,72070,0.693364090467601,0.306621756625503,"West"
"Colorado",2017,52001,85,44218,5134,35,2.77,5443,10.3,0.49,2.3,1.6,86.7,11.5,9.3,NA,0,0.3,1264219,12,"greater than 24m",26.5,59.1,14.3,1896,10577,0.656175853266522,0.266797485109199,"West"
"Colorado",2017,52001,85,44218,5134,35,2.77,5443,10.3,0.49,2.3,1.6,86.7,11.5,9.3,NA,0,0.3,1264219,12,"time in care missing",50,0,50,2,10577,0.656175853266522,0.266797485109199,"West"
"Colorado",2017,52001,85,44218,5134,35,2.77,5443,10.3,0.49,2.3,1.6,86.7,11.5,9.3,NA,0,0.3,1264219,12,"less than 12m",83.2,13,3.8,6198,10577,0.656175853266522,0.266797485109199,"West"
"Colorado",2017,52001,85,44218,5134,35,2.77,5443,10.3,0.49,2.3,1.6,86.7,11.5,9.3,NA,0,0.3,1264219,12,"between 12 and 24m",51.6,36.1,12.3,2481,10577,0.656175853266522,0.266797485109199,"West"
"Colorado",2018,50078,85,42347,4785,40,3.16,5498,10.3,0.47,2,1.8,88.1,10.7,8.7,NA,0,0.3,1264226,11.9,"greater than 24m",27.2,59.1,13.7,1970,10283,0.639819410677818,0.283057279004182,"West"
"Colorado",2018,50078,85,42347,4785,40,3.16,5498,10.3,0.47,2,1.8,88.1,10.7,8.7,NA,0,0.3,1264226,11.9,"time in care missing",66.7,0,33.3,3,10283,0.639819410677818,0.283057279004182,"West"
"Colorado",2018,50078,85,42347,4785,40,3.16,5498,10.3,0.47,2,1.8,88.1,10.7,8.7,NA,0,0.3,1264226,11.9,"less than 12m",82.1,13.6,4.2,5774,10283,0.639819410677818,0.283057279004182,"West"
"Colorado",2018,50078,85,42347,4785,40,3.16,5498,10.3,0.47,2,1.8,88.1,10.7,8.7,NA,0,0.3,1264226,11.9,"between 12 and 24m",51.3,37.9,10.8,2536,10283,0.639819410677818,0.283057279004182,"West"
"Colorado",2019,47828,85,40527,4420,25,1.99,5322,11.8,0.46,2.2,1.3,88.7,10.2,9.7,NA,0,0.2,1256673,10.9,"greater than 24m",27.6,57,15.4,2115,9742,0.636731471977007,0.283927119687949,"West"
"Colorado",2019,47828,85,40527,4420,25,1.99,5322,11.8,0.46,2.2,1.3,88.7,10.2,9.7,NA,0,0.2,1256673,10.9,"time in care missing",100,0,0,9,9742,0.636731471977007,0.283927119687949,"West"
